pc_va	name	source	method
0x6177a0	WSVirVehicleTransmission::~WSVirVehicleTransmission	both	rtti_exact
0x617b20	?$WSFactory@VWSVirVehicleTransmissionBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x61b4e0	?$WSFactory@VWSVirVehicleWheelBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x61b9b0	WSPhysicsVehicleWheelBlueprint::SetProperty	both	rtti_exact
0x627310	?$LuaGlueFunctor0@$1?TrainStart@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627320	?$LuaGlueFunctor0@$1?TrainStop@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627330	?$LuaGlueFunctor0@$1?TrainCull@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627340	?$LuaGlueFunctor0@$1?TrainSuperCull@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627350	?$LuaGlueFunctor0@$1?TrainSetMaxSpeed@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627360	?$LuaGlueFunctor0@$1?TrainUseTrackMaxSpeed@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627370	?$LuaGlueFunctor0@$1?TrainSetStopAtStation@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627390	?$WSFactory@VWSTrainListBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x6273c0	?$WSFactory@VWSTrainBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x627430	?$LuaGlueFunctor0@$1?TrainReleaseToPhysics@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627780	?$LuaGlueFunctor0@$1?TrainRegisterLocationCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627790	?$LuaGlueFunctor0@$1?TrainRegisterCreationCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x6277a0	?$LuaGlueFunctor0@$1?TrainRegisterEngineCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x6277b0	?$LuaGlueFunctor0@$1?TrainRegisterCarriageCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x6277c0	?$LuaGlueFunctor0@$1?TrainRegisterFinishRegistrationCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x6277d0	?$LuaGlueFunctor0@$1?TrainRegisterStreamoutCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x6277e0	?$LuaGlueFunctor0@$1?TrainRegisterDeathCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x6277f0	?$LuaGlueFunctor0@$1?TrainRegisterTrainItemCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627800	?$LuaGlueFunctor0@$1?TrainRegisterTrainWeaponCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627810	?$LuaGlueFunctor0@$1?TrainRegisterTrainAmmoCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627820	?$LuaGlueFunctor0@$1?TrainRegisterTrainNaziCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627830	?$LuaGlueFunctor0@$1?TrainRegisterTrainNaziDeathCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627840	?$LuaGlueFunctor0@$1?TrainRegisterTrainDecoupledCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627850	?$LuaGlueFunctor0@$1?TrainRegisterPlayerCarriageTriggerCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627860	?$LuaGlueFunctor0@$1?TrainRegisterPlayerDistanceCallback@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627870	?$LuaGlueFunctor0@$1?TrainSpawnNazi@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627880	?$LuaGlueFunctor0@$1?TrainSpawnNaziReachedDestination@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x627890	?$LuaGlueFunctor0@$1?TrainDecoupleCarriage@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x6278a0	?$LuaGlueFunctor0R@H$1?TrainGetBoardingPosition@WSTrain@@SAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
